Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Storage Architecture,Storage Model,Storage Organization,Stored Procedures,Views,Twitter,Inspired By,Compatible With,Wikipedia,Checkpoints,Compression,Former Name,Derived From,Storage Format
delta-lake,Delta Lake,"Delta Lake is an open-source storage layer for big data workloads. It provides ACID transactions for batch/streaming data pipelines reading and writing data concurrently. Developed from Databricks, it is highly compatible with Apache Spark API and can be incorporated on top of AWS S3, Azure Data Lake Storage, or HDFS.",Column Family,,Shared-Disk,https://delta.io/,https://github.com/delta-io/delta,,DataBricks,US,2019.0,,"Commercial,Open Source",Scala,"Java,Python,Scala,SQL",,Apache v2,,,,Hash Table,,,,,,,,,,,,,,,,,,,
densodb,DensoDB,DensoDB (DotNet NoSQL DataBase) is NoSQL document database written for .Net environment.,Document / XML,,,http://densodb.codeplex.com,https://github.com/teamdev/densodb,,Paolo Possanzini,IT,2012.0,2013.0,Open Source,C#,,,,,,,,,,,,,,,,,,,,,,,,,,
derby,Derby,Derby is a lightweight embedded relational database implemented completely in Java. It is an embedded database for any Java applications.,Relational,,Embedded,http://db.apache.org/derby/,https://github.com/apache/derby,,Cloudscape Inc.,US,1997.0,,Open Source,Java,Java,,Apache v2,All OS with Java VM,,,B+Tree,,,,,,,,Heaps,,,,,,,,,,,
dgraph,DGraph,Dgraph is a distributed graph database that supports GraphQL. It emphasizes concurrency in distributed environment by minimizing network calls.,Graph,,Shared-Nothing,https://dgraph.io/,https://github.com/dgraph-io/dgraph,,"DGraph Labs, Inc",US,2015.0,,"Commercial,Open Source",Go,Go,,Apache v2,"Linux,OS X",,,"Inverted Index (Full Text),Log-Structured Merge Tree",,,,,,,,Log-structured,,,,,,,,,,,
dolt,Dolt,"Dolt is a single-node and embedded DBMS that incorporates Git-style versioning as a first-class entity. Dolt behaves like Git where it is a content addressable local database where the main objects are tables instead of files. In Dolt, a user creates a database locally. The database contains tables that can be read and updated using SQL. Similar to Git, writes are staged until the user issues a commit. Upon commit, the writes are appended to permanent storage. Branch/merge semantics are supported allowing for the tables to evolve at a different pace for multiple users. This allows for loose collaboration on data as well as multiple views on the same core data. Merge conflicts are detected for schema and data conflicts. Data conflicts are cell-based, not line-based. Remote repositories allow for cooperation among repository instances. Clone, push, and pull semantics are all available. DoltHub Inc also created,Dolthub, a website to host Dolt databases similar to GitHub.",Relational,"Custom API,SQL,Command-line / Shell","Shared-Everything,Embedded",https://www.dolthub.com,https://github.com/dolthub/dolt,https://docs.dolthub.com/,DoltHub Inc,US,2018.0,,Open Source,Go,,,Apache v2,"Linux,OS X,Windows",Multi-version Concurrency Control (MVCC),Supported,B+Tree,Repeatable Read,,Not Supported,Not Supported,Tuple-at-a-Time Model,Disk-oriented,N-ary Storage Model (Row/Record),Sorted Files,Supported,Virtual Views,@DoltHub,,,,Not Supported,Naïve (Page-Level),,,
doris,Doris,Doris is a parallel SQL data warehouse developed by Baidu.,Relational,SQL,,https://doris.apache.org/,https://github.com/apache/incubator-doris,https://github.com/apache/incubator-doris/wiki,Baidu,CN,2017.0,,Open Source,C++,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,
doxa,Doxa,Doxa is an in-memory document-oriented DBMS.,Document / XML,Custom API,Embedded,https://cljdoc.org/d/com.github.ribelo/doxa/,https://github.com/ribelo/doxa,,Rafal Krzywaznia,PL,2021.0,,"Hobby,Open Source",Clojure,Clojure,,Public Domain,,,,,,,,,,In-Memory,,,,,,,,,,,,,
dqlite,Dqlite,"Dqlite (""distributed SQLite"") is a portable C library that provides a shared-nothing DBMS. It uses SQLite as its internal storage manager. It allows applications to be highly available without any dependence on external databases but SQLite. Devices such as IoT or Edge nodes are appropriate use-cases for it. There is currently a Go library,go-dqlite,available to demonstrate binding with the Dqlite's C code and serve as a fully functional client written in Go.",Relational,SQL,Shared-Nothing,https://dqlite.io/,https://github.com/canonical/dqlite,https://dqlite.io/docs/,Canonical,,2017.0,,Open Source,C,C,SQLite,Apache v2,,Deterministic Concurrency Control,,,Serializable,,Physical Logging,,Tuple-at-a-Time Model,Disk-oriented,N-ary Storage Model (Row/Record),,,,,,,,Blocking,,,,
dragonfly,Dragonfly,Dragonfly is an in-memory key-value store.,Key/Value,,Shared-Everything,https://dragonflydb.io,https://github.com/dragonflydb/dragonfly,,Attos Technologies Ltd.,IL,2021.0,,"Commercial,Open Source",C++,,,Business Source License,,,,,,,,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,
dremio,Dremio,Dremio is a distributed OLAP system inspired by Google's Dremel / BigQuery system.,Relational,SQL,Shared-Disk,https://www.dremio.com/,https://github.com/dremio/dremio-oss,https://docs.dremio.com/,Dremio,US,2015.0,,"Commercial,Open Source",Java,,,Apache v2,"Hosted,Linux",,,,,,,,,,,,,,@dremio,,,,,,,,
drill,Drill,"Drill is a database system designed for Big Data exploration. It is an open-source, distributed SQL query system based on Google's Dremel query system, and it features a columnar execution engine. Drill is the only distributed SQL engine in the world that does not require schemas. It supports the querying of many NoSQL databases and file systems, with the ability to join data from different types of datastores within the same query.",Column Family,"SQL,HTTP / REST",Shared-Nothing,https://drill.apache.org,https://github.com/apache/drill,https://drill.apache.org/docs/,Apache Foundation,US,2012.0,,Open Source,Java,"C,C#,C++,Java,JavaScript,Perl,Python",,Apache v2,"Linux,OS X,Windows",Optimistic Concurrency Control (OCC),Supported,,,"Nested Loop Join,Hash Join,Sort-Merge Join,Broadcast Join",,Code Generation,Vectorized Model,Hybrid,Decomposition Storage Model (Columnar),,Not Supported,,@ApacheDrill,,,,Not Supported,,,,
drizzle,Drizzle,Drizzle was a fork of MySQL that has now since been abandoned.,Relational,SQL,,http://www.drizzle.org/,,,,US,2008.0,,Open Source,C++,,,"BSD,GPL v2,GPL v3",,,,,,,,,,,,,,,,,,,,,,,
druid,Druid,"Apache Druid is an open-source distributed real-time analytics database designed for business intelligence (OLAP) queries on streaming and historical data. It is optimized for time series scans and aggregations. It supports loading data from both deep storage system like HDFS and streaming sources like Kafka. Internally, Druid uses Zookeeper for cluster node coordination, a relational database like MySQL or Postgres to keep track of metadata, and a deep storage system such as HDFS for storing data. Druid also has low latency between the event creation and when it can be queried, which makes Druid desirable for real-time analytics. Druid stores incoming data in a unique format called a segment to allow fast aggregations for arbitrary dimensionalities of data. Druid is commonly used to power GUI-based analytical BI apps via JDBC and as a backend for AI apps via REST API. Druid is also used for clickstream analytics, network telemetry analytics, application performance analytics, advertising analytics.",Column Family,"Custom API,SQL,HTTP / REST",Shared-Nothing,https://druid.apache.org,https://github.com/apache/druid,https://druid.apache.org/docs/latest/design/,Metamarkets,US,2011.0,,Open Source,Java,"Clojure,Java,JavaScript,PHP,Python,R,Ruby,Scala",,Apache v2,"AIX,BSD,Hosted,HP-UX,Linux,OS X,Solaris",Multi-version Concurrency Control (MVCC),,B+Tree,,Sort-Merge Join,Not Supported,Not Supported,"Tuple-at-a-Time Model,Vectorized Model",Hybrid,Decomposition Storage Model (Columnar),,Not Supported,Not Supported,@druidio,,,,,,,,
duckdb,DuckDB,"DuckDB is a Relational Embeddable Analytical DBMS that focuses on supporting analytical query workloads (OLAP) while embedded within another process. Similar to SQLite, DuckDB prioritizes simplicity and ease of integration by eliminating external dependencies for compilation and run-time. DuckDB's columnar-vectorized query execution engine reduces the CPU cycles expended per individual value, processing large batches of values in one operation as a vector. This design choice optimizes DuckDB for analytical queries, and in embedded scenarios, it enables high-speed data transfer to and from the database. To ensure transactional guarantees (ACID properties), DuckDB employs its custom bulk-optimized Multi-Version Concurrency Control (MVCC) and enables data to be stored in persistent, single-file databases. Additionally, DuckDB supports secondary indexes to speed up queries trying to find a single table entry.",Relational,Custom API,Embedded,http://www.duckdb.org/,https://github.com/cwida/duckdb,https://duckdb.org/docs/,CWI,NL,2018.0,,"Academic,Open Source",C++,"C,Java,Julia,Python,R",,MIT,Linux,Multi-version Concurrency Control (MVCC),Supported,"Adaptive Radix Tree (ART),Block Range Index (BRIN)",Snapshot Isolation,"Hash Join,Index Nested Loop Join",Physical Logging,Not Supported,Vectorized Model,Hybrid,Decomposition Storage Model (Columnar),,Not Supported,Virtual Views,@duckdb,,,,Blocking,"Dictionary Encoding,Delta Encoding,Run-Length Encoding,Bit Packing / Mostly Encoding",,,
ductiledb,DuctileDB,DuctileDB is a graph-oriented DBMS built on top HBase.,Graph,Gremlin,Shared-Disk,https://ductiledb.com,https://github.com/PureSolTechnologies/DuctileDB,https://ductiledb.com/documentation,PureSol Technologies,DE,2015.0,,Open Source,Java,,HBase,Apache v2,,,,,,,,,,Disk-oriented,,,,,@puresoltech,,,,,,,,
dybase,DyBASE,DyBASE is a object-oriented embedded DBMS for languages with dynamic type checking.,Object-Oriented,,Embedded,http://www.garret.ru/dybase.html,,,Konstantin Knizhnik,RU,,,Open Source,C++,"PHP,Python,Rebol,Ruby",,,,,,,,,,,,,,,,,,,,,,,,,
dynomitedb,DynomiteDB,,,,,http://www.dynomitedb.com/,https://github.com/Netflix/dynomite,http://www.dynomitedb.com/docs/,Netflix,US,2012.0,,Open Source,C,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
earthstar,Earthstar,Earthstar is a peer-to-peer (P2P) document-oriented database.,Document / XML,Custom API,Embedded,https://earthstar-project.org/,https://github.com/earthstar-project/earthstar,"https://doc.deno.land/https://deno.land/x/,[email protected],/mod.ts",Earthstar Project,US,2020.0,,"Academic,Open Source",TypeScript,,SQLite,LGPL v3,,,,,,,,,,,N-ary Storage Model (Row/Record),,,,@earthstar_proj,,,,,,,,
easedb,EaseDB,EaseDB is a small database system for storing hierarchical data with a REST interface.,Document / XML,HTTP / REST,,http://dl.acm.org/citation.cfm?id=1247607,https://github.com/X2rdas/easedb,https://github.com/X2rdas/easedb,Alexander Shakhmatov,RU,2013.0,,Open Source,Ruby,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
echodb,EchoDB,"EchoDB is an in-memory, multi-versioned key-value embedded DBMS.",Key/Value,Custom API,Embedded,https://crates.io/crates/echodb,https://github.com/surrealdb/echodb,https://docs.rs/echodb/latest/echodb/,SurrealDB Ltd.,GB,2021.0,,Open Source,Rust,,,Apache v2,,,,B+Tree,,,,,Tuple-at-a-Time Model,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,
edgedb,EdgeDB,EdgeDB is a relational database-as-a-service.,Object-Oriented,"Custom API,SQL,GraphQL",,http://edgedb.com/,https://github.com/edgedb/edgedb,https://www.edgedb.com/docs,MagicStack,CA,2018.0,,Open Source,,,,Apache v2,,,,,,,,,Tuple-at-a-Time Model,,N-ary Storage Model (Row/Record),,,,@edgedatabase,,,,,,,,
edgelessdb,EdgelessDB,EdgelessDB is a MySQL-compatible DBMS designed to run inside Intel's SGX secure enclave. It is a fork of MariaDB that uses RocksDB as its internal storage engine.,Relational,SQL,Shared-Everything,https://www.edgeless.systems/products/edgelessdb/,https://github.com/edgelesssys/edgelessdb/,https://docs.edgeless.systems/edgelessdb/,Edgeless Systems,DE,2021.0,,"Commercial,Open Source",,,RocksDB,GPL v2,,,,,,,,,,Disk-oriented,N-ary Storage Model (Row/Record),Log-structured,,,@EdgelessSystems,,,,,,,,
edis,Edis,Edis is an Erlang re-implementation of Redis. It uses LevelDB as its backing data store.,Key/Value,,,http://inaka.github.com/edis/,https://github.com/cbd/edis,,Chad DePue,US,2010.0,,Open Source,Erlang,,LevelDB,,,,,,,,,,,,,,,,,,,,,,,,
effiproz,EffiProz,EffiProz is an embedded DBMS written in C#. It supports a SQL dialect that is similar to HSQLDB.,Relational,SQL,Embedded,http://www.effiproz.com,https://bitbucket.org/efz/effiproz,https://archive.codeplex.com/?p=effiproz,EffiProz LLC,US,,,"Commercial,Open Source",C#,C#,,,Windows,,,,,,,,,,,,,,,,,,,,,,
ehcache,Ehcache,Ehcache is an open source Java distributed cache for general purpose caching.,Key/Value,Custom API,,http://ehcache.org/,https://github.com/ehcache/ehcache3,http://www.ehcache.org/documentation/,"Terracotta, Inc.",US,,,Open Source,Java,Java,,,All OS with Java VM,,,,,,,,,,,,,,,,,,,,,,
einsteindb,EinsteinDB,EinsteinDB is a key-value store DBMS that supports partially ordered events.,Key/Value,,,https://www.einsteindb.com/,https://github.com/YosiSF/EinsteinDB,https://www.einsteindb.com/docs,Whtcorps Inc.,US,,,Open Source,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,
ejdb,EJDB,EJDB2 is an embeddable JSON database engine,"Key/Value,Document / XML","Custom API,HTTP / REST",Embedded,http://ejdb.org/,https://github.com/Softmotions/ejdb,https://github.com/Softmotions/ejdb/blob/master/README.md,Softmotions,RU,,,Open Source,C,"C,C++,Dart,Java,JavaScript,Kotlin,Swift",,,"Android,BSD,iOS,Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,,,,
elara-db,Elara DB,Elara DB is a key-value embedded DBMS written in Python.,Key/Value,Custom API,Embedded,https://pypi.org/project/elara/,https://github.com/saurabh0719/elara,,Saurabh Pujari,IN,,,"Hobby,Open Source",Python,Python,,,,,,,,,,,,,,,,,,,,,,,,,
elasql,ElaSQL,,Relational,SQL,,http://www.elasql.org/,https://github.com/elasql/elasql,,National Tsing Hua University,TW,,,"Academic,Open Source",Java,,,,,,,,,,,,,,,,,,,,,,,,,,
elasticsearch,Elasticsearch,"Elasticsearch is an open-source full-text search and analytics engine based on Lucene. A few sample use-cases including online web store catalog, collect and analyze logs for data mining, supervise and alerting system, business-intelligence needs.",Document / XML,Custom API,Shared-Nothing,http://www.elasticsearch.org/,https://github.com/elastic/elasticsearch,https://www.elastic.co/guide/index.html,Elasticsearch BV,US,,,Open Source,Java,"Java,Python",,,All OS with Java VM,,,,,,,,,,,,,,,,,,,,,,
elephantdb,ElephantDB,ElephantDB is a database that provides an API for reading key/value data from Hadoop. ElephantDB server does not support random writes.,Key/Value,,,https://github.com/nathanmarz/elephantdb,https://github.com/nathanmarz/elephantdb,,Nathan Marz,US,,,Open Source,Clojure,,,,,,,,,,,,,,,,,,,,,,,,,,
elevator,Elevator,"Elevator is an open-source, on-disk key-value store.",Key/Value,"Custom API,Command-line / Shell",,https://elevator.readthedocs.io/,https://github.com/oleiade/Elevator,https://elevator.readthedocs.io/,Théo Crevon,DE,,2014.0,Open Source,,,,,,,,,,,,,,,,,,,,,,,,,,,
eliasdb,EliasDB,EliasDB is a lightweight graph-based database written in Go.,Graph,,,https://github.com/krotik/eliasdb,https://github.com/krotik/eliasdb,https://godoc.org/devt.de/eliasdb,Matthias Ladkau,GB,,,Open Source,Go,,,,,,,,,,,,,,,,,,,,,,,,,,
elliptics,Elliptics,Elliptics is a fault-tolerant distributed key/value (no-relational) database system. The core storage engine is a hash table. All keys are hashed into 512-bit ids via sha512 algorithm by default.,Key/Value,"Custom API,Command-line / Shell",Shared-Disk,http://reverbrain.com/elliptics/,https://github.com/reverbrain/elliptics,http://doc.reverbrain.com/elliptics:elliptics,Reverbrain,RU,,,"Commercial,Open Source","C++,Python","C,C++,Python",,,Linux,,,,,,,,,,,,,,,,,,,,,,
embeddinghub,Embeddinghub,Embeddinghub is a vector DBMS designed for performing nearest neighbor searches.,Array / Matrix,Custom API,Shared-Everything,https://www.featureform.com/,https://github.com/featureform/embeddinghub,https://docs.featureform.com/,Featureform,US,,,"Commercial,Open Source",Go,,,,,,,,,,,,,,,,,,,,,,,,,,
engula,Engula,Engula is a distributed key-value DBMS.,Key/Value,Custom API,Shared-Nothing,https://www.engula.io,https://github.com/engula/engula,https://www.engula.io/blog/,Huachao Huang,CN,,,"Hobby,Open Source",Rust,,,,Linux,,,,,,,,,,,,,,,,,,,,,,
ennodb,EnnoDB,EnnoDB was a key/value NoSQL database designed to run on a web server.,Key/Value,HTTP / REST,,https://github.com/badgerman/ennodb,https://github.com/badgerman/ennodb,,Enno Rehling,NO,,2016.0,"Hobby,Open Source",C,,,,Linux,,,,,,,,,,,,,,,,,,,,,,
etcd,etcd,"etcd is a distributed key-value store which is highly available, strongly consistent, and watchable for changes. The name ""etcd"" was from a unix's configuration directory, ""etc"" and ""d""istributed system. There are two major use cases: concurrency control in the distributed system and application configuration store. For example, CoreOS Container Linux uses etcd to achieve a global semaphore to avoid that all nodes in the cluster rebooting at the same time. Also, Kubernetes use etcd for their configuration store.",Key/Value,RPC,Shared-Nothing,https://etcd.io/,https://github.com/coreos/etcd,https://etcd.io/docs/latest/,CoreOS,US,,,Open Source,Go,,,,Linux,,,,,,,,,,,,,,,,,,,,,,
euclidesdb,EuclidesDB,EuclidesDB is a multi-model machine learning feature DBMS designed to interoperate with PyTorch applications. It provides a query interface for searching for multi-dimensional model features.,Array / Matrix,"Custom API,HTTP / REST",Shared-Everything,http://euclidesdb.readthedocs.io/,https://github.com/perone/euclidesdb,,Christian S. Perone,PT,,,Open Source,C++,Python,,,"Linux,OS X",,,,,,,,,,,,,,,,,,,,,,
evcache,EVCache,EVCache is a distributed in-memory data store based on Memcached.,Key/Value,,Shared-Nothing,https://github.com/Netflix/EVCache,https://github.com/Netflix/EVCache,https://github.com/Netflix/evcache/wiki,Netflix,US,,,Open Source,,,,,,,,,,,,,,,,,,,,,,,,,,,
event-store,Event Store,"Event Store is an open-source, functional database designed for complex event processing workloads.",,,,https://eventstore.org/,https://github.com/EventStore/EventStore,https://eventstore.org/docs,Event Store LLP,GB,,,"Commercial,Open Source","C#,C++,JavaScript",,,,Windows,,,,,,,,,,,,,,,,,,,,,,
eventql,EventQL,"EventQL is a distributed, column-oriented database built for large-scale event collection and analytics.",Relational,SQL,Shared-Nothing,http://eventql.io/,https://github.com/eventql/eventql,https://eventql.io/documentation/,DeepCortex GmbH,"DE,NL",,2017.0,"Commercial,Open Source",C++,,,,,,,,,,,,,,,,,,,,,,,,,,
exist-db,eXist-db,eXist-db is an open-source XML DBMS.,Document / XML,XQuery,,http://exist-db.org/,https://github.com/eXist-db/exist,https://github.com/eXist-db/exist/wiki,eXist Solutions GmbH,DE,,,"Commercial,Open Source",Java,,,,,,,,,,,,,,,,,,,,,,,,,,
extensible-storage-engine,Extensible Storage Engine,"Extensible Storage Engine (ESE) is an embedded key-value ISAM DBMS used in various Microsoft products. This system is sometimes referred to as ""JET Blue"".",Key/Value,Custom API,Embedded,https://docs.microsoft.com/en-us/windows/win32/extensible-storage-engine/extensible-storage-engine,https://github.com/microsoft/Extensible-Storage-Engine,https://docs.microsoft.com/en-us/windows/win32/extensible-storage-engine/extensible-storage-engine-reference,Microsoft,US,,,"Commercial,Open Source",C++,"C,C++",,,Windows,,,,,,,,,,,,,,,,,,,,,,
eyedb,EyeDB,EyeDB is an object-oriented DBMS written for Java and C++ applications.,Object-Oriented,Custom API,,http://www.eyedb.org/,http://sourceforge.net/projects/eyedb,http://www.eyedb.org/documentation/,Genethon Laboratories,FR,1992.0,,"Academic,Open Source",C++,"C++,Java",,LGPL v2,,,,,,,,,,,,,,,,,,,,,IDB,,
eyros,eyros,eyros is a multi-dimensional interval DBMS designed for geospatial and time-series databases.,Array / Matrix,Custom API,Embedded,https://github.com/peermaps/eyros,https://github.com/peermaps/eyros,,bits.coop,US,2018.0,,Open Source,Rust,Rust,,Parity Public License,,,,,,,,,,,,,,,,,,,,,,,
falcon,Falcon,Falcon was a transactional storage engine being developed for the MySQL relational database management system.,,,,,http://mysql.bkbits.net:8080/mysql-5.2-falcon,http://download.nust.na/pub6/mysql/tech-resources/articles/falcon-in-depth.html,Sun Microsystems,US,2006.0,,"Commercial,Open Source",,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Falcon_(storage_engine),,,,,
fallen-8,Fallen-8,Fallen-8 is an in-memory graph DBMS implemented in C#.,Graph,HTTP / REST,,http://www.fallen-8.com/,https://github.com/cosh/fallen-8,,Henning Rauch,DE,2011.0,,"Hobby,Open Source",C#,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
fastdb,FastDB,,Relational,,Shared-Everything,http://www.garret.ru/fastdb.html,https://sourceforge.net/projects/fastdb/,http://www.garret.ru/fastdb/FastDB.htm,Konstantin Knizhnik,RU,2011.0,,Open Source,C++,,,,"BSD,Linux,Solaris,Windows",,,,,,,,,,Decomposition Storage Model (Columnar),,,,,,,,,,,,
faster,FASTER,FASTER is a embedded transactional key-value storage manager from Microsoft.,Key/Value,Custom API,Embedded,https://aka.ms/FASTER,https://github.com/microsoft/FASTER/,https://microsoft.github.io/FASTER/docs/quick-start-guide/,Microsoft,US,2018.0,,"Commercial,Open Source","C#,C++","C#,C++",,MIT,,,,,,,,,,,,,,,,,,,,,,,
featurebase,FeatureBase,"FeatureBase is a relational DBMS designed for automated featured extraction for analytical workloads. Feature extraction and storage technology enables real-time analytics and AI initiatives, making model-ready data instantly accessible, without the need to copy or pre-process data. FeatureBase leaves data at its source and continuously extracts and updates only features in real time. FeatureBase supports clustering, record deletion, time-to-live (TTL) expiration and SQL functionality. FeatureBase is available as a cloud SaaS product or as a locally-managed database.",Relational,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,https://www.molecula.com/featurebase/,https://github.com/featurebasedb/featurebase,https://docs.molecula.cloud/,Molecula,US,2017.0,,Open Source,Go,"Python,SQL",,Apache v2,"Hosted,Linux",,,,,,,,,,"Decomposition Storage Model (Columnar),Custom",,,,,,,,,,Pilosa,,
ferretdb,FerretDB,FerretDB is a document-oriented query middleware on top of PostgreSQL.,Document / XML,Custom API,Shared-Everything,https://www.ferretdb.io/,https://github.com/FerretDB/FerretDB,,FerretDB Inc.,US,2021.0,,Open Source,Go,,,,,,,,,,,,,,N-ary Storage Model (Row/Record),Heaps,,,,,,,,,MangoDB,,
filedb,FileDB,"FileDB is a lightweight C# library to store, retrieve, and delete named blobs using a single archive file as a container on disk.",Key/Value,,,https://github.com/mbdavid/FileDB,https://github.com/mbdavid/FileDB,,Mauricio David,BR,2015.0,,"Hobby,Open Source",C#,,,MIT,Windows,,,,,,,,,,,,,,,,,,,,,,
filodb,FiloDB,"FiloDB is an open-source distributed, versioned, and columnar analytical database designed for modern streaming workloads.",,PromQL,,https://github.com/tuplejump/FiloDB,https://github.com/filodb/FiloDB,https://github.com/filodb/FiloDB/blob/master/README.md,Evan Chan,US,2015.0,,Open Source,Scala,,,Apache v2,,,,,,,,,,,Decomposition Storage Model (Columnar),,,,,,,,,,,,
finedb,FineDB,"FineDB is a multi-threaded NoSQL DBMS written in C, founded by Amaury Bouchard in 2013. It is based on Nanomsg and LMDB(Lightning Memory-Mapped Database) and is currently open-sourced and available on Github. It handles all basic queries. It uses LMDB as its internal storage manager, so all detailed information on the storage model can be found on LMDB's page. The way that the database is set up is that there are three main threads to handle the connections, writing and communication between the threads. For the communication between the threads, there are two nanomsg communication streams that have fanin and fanout streams. With these streams and threads, the DBMS connects to the LMDB storage model. This DB has not been updated since September 2013 so it is considered defunct.",Key/Value,Custom API,Shared-Memory,http://www.finedb.org/,http://github.com/Amaury/FineDB,http://www.finedb.org/page/show/1/protocol,Amaury Bouchard,FR,2013.0,,Open Source,C,,,Apache v2,,,,,,,,,,,Custom,,,,,,,,,,,,
firebird,Firebird,"Firebird is a free, open-source, SQL relational database management system based on the open source edition of InterBase released by Borland Software Corp, formerly known as Inprise Corp. Developed in C and C++, Firebird supports major hardware and software platforms including Windows, Linux, and Mac OS X. Firebird offers many ANSI SQL standard features, allows simultaneous OLTP and OLAP operations through its multi-generational architecture, and supports stored procedures and triggers.",Relational,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Everything,http://www.firebirdsql.org/,https://github.com/FirebirdSQL/firebird,http://firebirdsql.org/en/firebird-rdbms/,Borland,US,2000.0,,Open Source,"C,C++","C,C++,Delphi,Java,Perl,PHP,Python",,Mozilla Public License,"Linux,OS X,Solaris,Windows",,,,,,,,,,N-ary Storage Model (Row/Record),Heaps,,,,,,https://en.wikipedia.org/wiki/Firebird_(database_server),,,InterBase,,
flashdb,FlashDB,FlashDB is an embedded key-value DBMS.,Key/Value,Custom API,Embedded,https://armink.github.io/FlashDB/,https://github.com/armink/FlashDB,https://armink.github.io/FlashDB/#/README,Armink,CN,2020.0,,"Hobby,Open Source",C,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
fleetdb,FleetDB,"FleetDB is an in-memory, document-oriented DBMS.",Document / XML,Custom API,,http://fleetdb.org/,https://github.com/mmcgrana/fleetdb,http://fleetdb.org/docs/introduction.html,Mark McGranaghan,US,2009.0,,"Academic,Open Source",Clojure,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
flockdb,FlockDB,"FlockDB was a distributed, fault-tolerant graph database.",Graph,,,https://github.com/twitter/flockdb,https://github.com/twitter-archive/flockdb,,Twitter,US,2010.0,,Open Source,Scala,,,Apache v2,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/FlockDB,,,,,
fluree,Fluree,Fluree is a ledger-backed semantic graph database with a cloud-native architecture.,"Relational,Document / XML,Graph,Triplestore (RDF)","Custom API,SQL,GraphQL,SPARQL,HTTP / REST",,https://flur.ee/,https://github.com/fluree/db,https://docs.flur.ee/,"Fluree, PBC",US,2017.0,,"Commercial,Open Source",Clojure,"Clojure,JavaScript",,AGPL v3,All OS with Java VM,,,,,,,,,,,,,,,,,,,,FlureeDB,,
fongo,Fongo,"Fongo (""Fake Mongo"") is a in-memory re-implementation of MongoDB written in Java. The goal of the project is to use it for lightweight unit testing and not production databases.",Document / XML,Custom API,Shared-Everything,https://github.com/fakemongo/fongo,https://github.com/fakemongo/fongo,,Foursquare,US,2012.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,N-ary Storage Model (Row/Record),,,,,,,,,,,,
forestdb,ForestDB,ForestDB is a single-node key-value storage engine Couchbase server. It addresses the performance issue on current B+ tree and LSM-tree indexing on variable length strings. ForestDB uses an in-memory log structured write buffer index and an on-disk HB+-trie as indexing. HB+-trie splits keys into chunks and stored in normal B+ tree nodes to guide the traffic. The write buffer index stores the disk locations of records not in HB+-trie and the log-structure of write buffer index reduces disk I/O.,Key/Value,Custom API,Embedded,https://github.com/couchbaselabs/forestdb,https://github.com/couchbase/forestdb,https://github.com/couchbase/forestdb/wiki,"Couchbase, Inc.",US,2013.0,,Open Source,C++,"C++,Go,Java,Objective-C,Python",,Apache v2,"Android,iOS,Linux,OS X,Windows",,,,,,,,,,N-ary Storage Model (Row/Record),Log-structured,,,,,,,,,,,
foundationdb,FoundationDB,"FoundationDB is a distributed non-relational database that supports ACID transactions and OLTP workloads. FoundationDB decouples its data storage technology from its data model. All data is stored as an ordered key-value data structure and can be remapped to custom data models or indexes by using user-written layer module API. FoundationDB doesn’t have any separate query language, it only exposes API to access data. FoundationDB was famous for having rigorous and thorough testing of their fault tolerance. They built their own [deterministic testing] (https://www.youtube.com/watch?v=4fFDFbi3toc) while developing their system to make sure their system implementation behaves correctly. The simulation was built to model real-life scenarios, such as a combination of transaction executions while having network failure, database configuration change, and human operator errors.",Key/Value,Custom API,Shared-Nothing,https://www.foundationdb.org/,https://github.com/apple/foundationdb/,https://apple.github.io/foundationdb/index.html,FoundationDB,US,2009.0,,Open Source,C++,,,Apache v2,,,,,,,,,,,Custom,Sorted Files,,,,,,https://en.wikipedia.org/wiki/FoundationDB,,,,,
